Time,State,Name,,,
2019/10/11,0,2_10_76_100_161,2019/10/11,0,0
2019/10/11 0:01,0,2_10_76_100_161,2019/10/11 0:01,0,0
2019/10/11 0:02,0,2_10_76_100_161,2019/10/11 0:02,0,0
2019/10/11 0:03,0,2_10_76_100_161,2019/10/11 0:03,0,0
2019/10/11 0:04,0,2_10_76_100_161,2019/10/11 0:04,0,0
2019/10/11 0:05,0,2_10_76_100_161,2019/10/11 0:05,0,0
2019/10/11 0:06,0,2_10_76_100_161,2019/10/11 0:06,0,0
2019/10/11 0:07,0,2_10_76_100_161,2019/10/11 0:07,0,0
2019/10/11 0:08,0,2_10_76_100_161,2019/10/11 0:08,0,0
2019/10/11 0:09,0,2_10_76_100_161,2019/10/11 0:09,0,0
2019/10/11 0:10,0,2_10_76_100_161,2019/10/11 0:10,0,0
2019/10/11 0:11,0,2_10_76_100_161,2019/10/11 0:11,0,0
2019/10/11 0:12,0,2_10_76_100_161,2019/10/11 0:12,0,0
2019/10/11 0:13,0,2_10_76_100_161,2019/10/11 0:13,0,0
2019/10/11 0:14,0,2_10_76_100_161,2019/10/11 0:14,0,0
2019/10/11 0:15,0,2_10_76_100_158,2019/10/11 0:15,0,0
2019/10/11 0:16,0,2_10_76_100_158,2019/10/11 0:16,0,0
2019/10/11 0:17,0,2_10_76_100_158,2019/10/11 0:17,0,0
2019/10/11 0:18,0,2_10_76_100_158,2019/10/11 0:18,0,0
2019/10/11 0:19,0,2_10_76_100_158,2019/10/11 0:19,0,0
2019/10/11 0:20,0,2_10_76_100_158,2019/10/11 0:20,0,0
2019/10/11 0:21,0,2_10_76_100_158,2019/10/11 0:21,0,0
2019/10/11 0:22,0,2_10_76_100_158,2019/10/11 0:22,0,0
2019/10/11 0:23,0,2_10_76_100_158,2019/10/11 0:23,0,0
2019/10/11 0:24,0,2_10_76_100_158,2019/10/11 0:24,0,0
2019/10/11 0:25,0,2_12_88_126_576,2019/10/11 0:25,0,0
2019/10/11 0:26,0,2_12_88_126_576,2019/10/11 0:26,0,0
2019/10/11 0:27,0,2_12_88_126_576,2019/10/11 0:27,0,0
2019/10/11 0:28,0,2_12_88_126_576,2019/10/11 0:28,0,0
2019/10/11 0:29,0,2_12_88_126_576,2019/10/11 0:29,0,0
2019/10/11 0:30,0,2_25_88_128_519,2019/10/11 0:30,0,0
2019/10/11 0:31,0,2_25_88_128_519,2019/10/11 0:31,0,0
2019/10/11 0:32,0,2_25_88_128_519,2019/10/11 0:32,0,0
2019/10/11 0:33,0,2_25_88_128_519,2019/10/11 0:33,0,0
2019/10/11 0:34,0,2_25_88_128_519,2019/10/11 0:34,0,0
2019/10/11 0:35,0,2_25_88_128_519,2019/10/11 0:35,0,0
2019/10/11 0:36,0,2_23,2019/10/11 0:36,0,0
2019/10/11 0:37,0,2_23,2019/10/11 0:37,0,0
2019/10/11 0:38,0,2_25_88_128_519,2019/10/11 0:38,0,0
2019/10/11 0:39,0,2_25_88_128_519,2019/10/11 0:39,0,0
2019/10/11 0:40,0,2_25_88_128_519,2019/10/11 0:40,0,0
2019/10/11 0:41,0,2_25_88_128_519,2019/10/11 0:41,0,0
2019/10/11 0:42,0,2_18,2019/10/11 0:42,0,0
2019/10/11 0:43,0,2_18,2019/10/11 0:43,0,0
2019/10/11 0:44,0,2_25_88_128_519,2019/10/11 0:44,0,0
2019/10/11 0:45,0,2_18,2019/10/11 0:45,0,0
2019/10/11 0:46,0,2_25_88_128_523,2019/10/11 0:46,0,0
2019/10/11 0:47,0,2_18,2019/10/11 0:47,0,0
2019/10/11 0:48,0,2_25_88_128_523,2019/10/11 0:48,0,0
2019/10/11 0:49,0,2_25_88_128_523,2019/10/11 0:49,0,0
2019/10/11 0:50,0,2_25_88_128_523,2019/10/11 0:50,0,0
2019/10/11 0:51,0,2_25_88_128_523,2019/10/11 0:51,0,0
2019/10/11 0:52,0,2_25_88_128_523,2019/10/11 0:52,0,0
2019/10/11 0:53,0,2_18,2019/10/11 0:53,0,0
2019/10/11 0:54,0,2_18,2019/10/11 0:54,0,0
2019/10/11 0:55,0,2_25_88_128_523,2019/10/11 0:55,0,0
2019/10/11 0:56,0,2_18,2019/10/11 0:56,0,0
2019/10/11 0:57,0,2_25_88_128_523,2019/10/11 0:57,0,0
2019/10/11 0:58,0,2_18,2019/10/11 0:58,0,0
2019/10/11 0:59,0,2_16_76_104_354,2019/10/11 0:59,0,0
2019/10/11 1:00,0,2_18,2019/10/11 1:00,0,0
2019/10/11 1:01,0,2_16_78_104_354,2019/10/11 1:01,0,0
2019/10/11 1:02,0,2_16_78_104_354,2019/10/11 1:02,0,0
2019/10/11 1:03,0,2_16_78_104_354,2019/10/11 1:03,0,0
2019/10/11 1:04,0,2_16_78_104_354,2019/10/11 1:04,0,0
2019/10/11 1:05,0,2_16_78_104_352,2019/10/11 1:05,0,0
2019/10/11 1:06,0,2_18,2019/10/11 1:06,0,0
2019/10/11 1:07,0,2_18,2019/10/11 1:07,0,0
2019/10/11 1:08,0,2_25_90_128_521,2019/10/11 1:08,0,0
2019/10/11 1:09,0,2_16_78_104_352,2019/10/11 1:09,0,0
2019/10/11 1:10,0,2_16_78_104_352,2019/10/11 1:10,0,0
2019/10/11 1:11,0,2_25_90_128_521,2019/10/11 1:11,0,0
2019/10/11 1:12,0,2_25_90_128_521,2019/10/11 1:12,0,0
2019/10/11 1:13,0,2_18,2019/10/11 1:13,0,0
2019/10/11 1:14,0,2_18,2019/10/11 1:14,0,0
2019/10/11 1:15,0,2_12_90_128_523,2019/10/11 1:15,0,0
2019/10/11 1:16,0,2_12_90_128_523,2019/10/11 1:16,0,0
